date,open,high,low,close,volume
2020-01-02,3073.93,3107.52,3073.93,3090.83,500364000.00000006
2020-01-03,3097.25,3097.41,3072.11,3078.28,371855000.0
2020-01-06,3062.28,3090.84,3040.19,3056.84,477078000.0
2020-01-07,3063.75,3080.27,3061.56,3074.02,343718000.0
2020-01-08,3058.36,3058.7,3030.1,3037.85,376538000.0
2020-01-09,3060.77,3071.54,3055.99,3067.55,331505000.0
2020-01-10,3079.08,3081.96,3058.16,3067.88,285424000.0
2020-01-13,3069.68,3090.13,3054.88,3090.13,293308000.0
2020-01-14,3097.72,3108.18,3078.46,3080.6,351290000.0
2020-01-15,3078.25,3086.97,3052.7,3058.01,281161000.0
2020-01-16,3067.95,3068.2,3039.07,3043.09,283123000.0
2020-01-17,3054.04,3067.56,3042.59,3053.17,233044999.99999997
2020-01-20,3070.67,3072.29,3054.45,3065.99,272748000.0
2020-01-21,3048.95,3050.82,3011.18,3012.11,328013000.0
2020-01-22,2996.81,3023.9,2965.66,3017.88,331598000.0
2020-01-23,2993.77,2993.77,2910.39,2932.49,428393999.99999994
2020-02-03,2676.01,2755.84,2676.01,2727.09,586092000.0
2020-02-04,2724.13,2796.71,2724.13,2794.66,570164000.0
2020-02-05,2803.74,2833.21,2782.42,2812.9,441821000.0
2020-02-06,2829.51,2866.39,2809.37,2854.89,421343000.0
2020-02-07,2836.8,2851.82,2819.67,2851.71,344436000.0
2020-02-10,2826.8,2854.83,2817.77,2850.06,336549000.0
2020-02-11,2858.92,2893.07,2854.07,2879.86,360282000.0
2020-02-12,2876.67,2895.93,2870.77,2895.59,312308000.0
2020-02-13,2898.4,2906.72,2871.26,2875.48,374348000.0
2020-02-14,2870.71,2900.2,2870.63,2895.06,351260000.0
2020-02-17,2901.69,2950.28,2898.59,2950.07,452964999.99999994
2020-02-18,2940.65,2944.43,2914.96,2924.4,380990000.0
2020-02-19,2917.12,2942.35,2914.59,2923.76,402703000.0
2020-02-20,2931.37,2981.27,2920.8,2978.18,502297999.99999994
2020-02-21,2965.6,2991.06,2959.51,2968.14,469202000.00000006
2020-02-24,2949.98,2953.29,2922.16,2930.03,486376000.0
2020-02-25,2891.98,2912.16,2869.64,2909.32,531579000.0
2020-02-26,2877.46,2930.02,2872.83,2901.67,629650000.0
2020-02-27,2904.87,2927.2,2903.75,2912.04,421522999.99999994
2020-02-28,2860.28,2880.79,2818.43,2821.04,584800000.0
2020-03-02,2837.77,2922.95,2837.77,2907.89,548848000.0
2020-03-03,2941.68,2948.55,2910.76,2921.44,531614000.00000006
2020-03-04,2921.07,2949.57,2919.37,2947.57,425695000.0
2020-03-05,2966.69,3023.12,2956.65,3018.07,604980000.0
2020-03-06,2989.76,2999.49,2962.4,2964.83,418553000.0
2020-03-09,2908.63,2908.63,2864.49,2868.83,588647000.0
2020-03-10,2859.87,2935.09,2852.93,2924.22,480505000.0
2020-03-11,2927.83,2927.83,2888.36,2888.36,364421000.0
2020-03-12,2858.51,2866.14,2828.29,2841.98,370236000.0
2020-03-13,2720.61,2826.72,2715.14,2798.77,490614000.00000006
2020-03-16,2800.0,2800.18,2689.9,2694.02,469712000.0
2020-03-17,2696.7,2734.8,2629.18,2685.59,415327000.00000006
2020-03-18,2695.42,2724.3,2625.6,2625.75,376814000.0
2020-03-19,2611.75,2630.05,2517.3,2569.79,495235000.00000006
2020-03-20,2597.98,2636.14,2580.36,2628.42,372314000.0
2020-03-23,2548.85,2586.11,2548.0,2559.62,325497000.0
2020-03-24,2608.24,2641.87,2592.61,2639.38,368684000.0
2020-03-25,2700.1,2711.12,2681.09,2700.19,384912000.0
2020-03-26,2676.62,2716.34,2673.44,2689.28,282260000.0
2020-03-27,2722.47,2733.52,2701.44,2701.44,353869000.0
2020-03-30,2667.12,2696.33,2664.72,2690.04,340497000.0
2020-03-31,2713.5,2716.02,2684.21,2689.38,302990000.0
2020-04-01,2684.5,2722.32,2680.08,2682.08,275194000.0
2020-04-02,2667.94,2719.89,2665.81,2719.89,287309000.0
2020-04-03,2707.82,2720.84,2697.83,2708.82,244446000.0
2020-04-07,2756.27,2762.31,2743.16,2757.41,359547000.0
2020-04-08,2742.36,2753.49,2736.09,2743.89,254017000.0
2020-04-09,2754.72,2760.59,2749.42,2752.59,238205000.00000003
2020-04-10,2755.2,2787.28,2742.52,2749.85,254448000.0
2020-04-13,2740.09,2749.48,2731.03,2739.17,191877000.0
2020-04-14,2756.5,2785.8,2745.99,2785.72,267230000.00000003
2020-04-15,2783.28,2788.09,2761.44,2764.49,230515000.0
2020-04-16,2751.69,2771.43,2750.29,2768.26,230164000.0
2020-04-17,2790.83,2825.96,2782.71,2809.08,348697000.0
2020-04-20,2812.8,2821.01,2799.92,2819.79,276276000.0
2020-04-21,2808.91,2808.91,2767.27,2784.53,249437000.0
2020-04-22,2774.44,2804.24,2768.4,2804.24,206946000.0
2020-04-23,2813.73,2820.24,2794.46,2797.66,245296000.0
2020-04-24,2789.05,2789.05,2770.34,2776.02,199148000.0
2020-04-27,2786.47,2818.54,2783.17,2805.22,231471000.0
2020-04-28,2814.23,2832.06,2781.15,2825.14,270842000.0
2020-04-29,2814.6,2852.1,2814.07,2844.81,254301000.00000003
2020-04-30,2851.14,2882.7,2851.14,2861.91,303891000.0
2020-05-06,2823.29,2865.11,2823.27,2863.85,354598000.0
2020-05-07,2860.96,2863.16,2845.66,2854.42,239019999.99999997
2020-05-08,2864.86,2883.69,2858.11,2873.01,270372000.0
2020-05-11,2876.77,2897.99,2864.96,2871.85,253090000.0
2020-05-12,2871.31,2880.5,2855.02,2869.6,213302000.0
2020-05-13,2860.82,2869.7,2845.34,2867.71,183257000.0
2020-05-14,2854.78,2854.78,2833.95,2834.53,198183000.0
2020-05-15,2845.91,2849.17,2818.37,2819.69,194706000.0
2020-05-18,2821.73,2849.85,2813.26,2837.17,226269000.0
2020-05-19,2869.23,2872.7,2854.89,2860.67,227055000.00000003
2020-05-20,2861.59,2864.67,2847.26,2856.14,199492000.0
2020-05-21,2866.74,2867.91,2844.14,2846.82,190711000.0
2020-05-22,2840.88,2841.11,2775.31,2775.81,259713000.0
2020-05-25,2784.43,2789.82,2762.3,2789.71,186749000.0
2020-05-26,2806.25,2811.83,2796.85,2808.84,181104000.0
2020-05-27,2810.47,2814.56,2790.84,2795.48,197600000.0
2020-05-28,2797.37,2830.46,2785.32,2809.66,229434000.0
2020-05-29,2791.62,2813.82,2788.87,2806.66,214710000.0
2020-06-01,2832.22,2873.05,2832.22,2870.36,284334000.0
2020-06-02,2864.53,2890.81,2862.68,2885.92,267039000.0
2020-06-03,2900.87,2922.78,2889.08,2889.11,278410000.0
2020-06-04,2900.96,2902.9,2876.44,2883.36,218946999.99999997
2020-06-05,2886.23,2896.35,2871.87,2896.35,212696999.99999997
2020-06-08,2907.68,2925.2,2904.03,2909.59,293006000.0
2020-06-09,2911.95,2931.54,2905.84,2928.3,244009000.0
2020-06-10,2925.17,2925.17,2905.21,2908.48,227177000.0
2020-06-11,2899.49,2907.66,2867.2,2876.51,289985000.0
2020-06-12,2840.8,2884.99,2837.55,2884.12,340959000.0
2020-06-15,2862.49,2875.03,2838.61,2838.61,293105000.0
2020-06-16,2867.71,2879.53,2861.01,2878.99,242183000.0
2020-06-17,2879.85,2882.1,2864.16,2881.13,222446000.0
2020-06-18,2872.17,2892.12,2860.5,2888.96,276343000.0
2020-06-19,2891.31,2933.9,2888.92,2925.94,371374000.0
2020-06-22,2921.3,2947.61,2912.49,2921.89,372630000.0
2020-06-23,2913.01,2929.8,2902.12,2925.42,275401000.0
2020-06-24,2928.52,2947.19,2926.84,2943.47,301796000.0
2020-06-29,2935.54,2942.49,2909.45,2925.48,324834000.0
2020-06-30,2933.93,2951.12,2928.68,2942.07,270156000.0
2020-07-01,2950.49,3010.36,2941.38,3009.86,426681000.00000006
2020-07-02,3005.36,3088.96,3003.78,3084.24,672238000.0
2020-07-03,3101.39,3159.17,3101.26,3159.16,782094000.0
2020-07-06,3198.74,3384.87,3198.74,3374.14,1221679000.0
2020-07-07,3438.86,3465.47,3381.76,3381.76,1086241000.0
2020-07-08,3378.11,3466.63,3371.59,3429.94,914571999.9999999
2020-07-09,3426.6,3451.93,3403.73,3442.02,849344000.0
2020-07-10,3404.0,3411.09,3338.59,3351.78,790465000.0
2020-07-13,3338.71,3421.94,3327.7,3390.12,800242000.0
2020-07-14,3374.07,3391.9,3310.89,3348.03,767864000.0
2020-07-15,3363.92,3374.29,3303.15,3313.76,704120000.0
2020-07-16,3313.56,3326.69,3162.03,3162.03,746831000.0
2020-07-17,3181.7,3223.54,3151.22,3185.89,494491000.0
2020-07-20,3219.92,3293.63,3189.47,3287.92,630475000.0
2020-07-21,3302.72,3305.2,3272.47,3286.81,445120000.0
2020-07-22,3278.74,3354.72,3273.81,3291.36,544038000.0
2020-07-23,3263.07,3303.43,3224.51,3284.11,556656000.0
2020-07-24,3265.52,3270.56,3136.64,3158.29,606381000.0
2020-07-27,3178.05,3194.14,3136.03,3163.23,376275000.0
2020-07-28,3188.96,3205.57,3168.9,3185.89,357105000.0
2020-07-29,3184.72,3245.7,3171.04,3243.38,436487000.0
2020-07-30,3252.2,3263.19,3231.36,3231.52,361089000.0
2020-07-31,3226.42,3284.38,3199.91,3249.34,428979000.0
2020-08-03,3271.18,3284.79,3251.82,3281.1,482989999.99999994
2020-08-04,3293.92,3329.56,3279.14,3312.13,625405000.0
2020-08-05,3298.14,3300.9,3257.29,3292.31,455793000.0
2020-08-06,3295.43,3311.36,3243.65,3292.2,489458000.0
2020-08-07,3277.44,3288.79,3219.42,3263.75,489810000.00000006
2020-08-10,3250.54,3309.98,3232.09,3285.76,532714000.00000006
2020-08-11,3291.34,3333.75,3257.37,3262.82,538228000.0
2020-08-12,3255.54,3266.58,3199.55,3249.74,510249000.0
2020-08-13,3261.13,3265.51,3230.17,3241.84,370921000.0
2020-08-14,3236.95,3292.03,3230.21,3288.51,367475000.0
2020-08-17,3300.9,3397.5,3299.21,3368.85,758990000.0
2020-08-18,3369.87,3377.52,3350.78,3367.33,474442000.0
2020-08-19,3361.72,3366.68,3306.33,3307.66,444193999.99999994
2020-08-20,3285.2,3288.21,3252.18,3264.53,370529000.0
2020-08-21,3287.43,3299.94,3261.55,3284.73,280501000.0
2020-08-24,3306.56,3320.97,3291.66,3298.72,296662000.0
2020-08-25,3312.03,3335.03,3300.2,3310.84,284500000.0
2020-08-26,3308.93,3327.82,3269.09,3277.89,329224000.0
2020-08-27,3286.78,3291.68,3257.57,3290.79,281358000.0
2020-08-28,3296.52,3372.74,3286.14,3368.44,390087000.0
2020-08-31,3386.62,3408.58,3343.21,3343.89,479052000.00000006
2020-09-01,3333.21,3355.1,3328.12,3355.1,304665000.0
2020-09-02,3371.57,3373.35,3316.5,3347.3,355123000.0
2020-09-03,3349.26,3374.01,3322.9,3334.41,312524000.0
2020-09-04,3293.49,3314.55,3283.31,3309.21,286375000.0
2020-09-07,3303.64,3328.72,3243.43,3253.43,325801000.0
2020-09-08,3267.31,3296.14,3249.25,3289.91,323806000.0
2020-09-09,3253.5,3267.86,3217.15,3235.7,300966000.0
2020-09-10,3264.32,3273.9,3239.58,3245.5,299738000.0
2020-09-11,3238.47,3270.59,3230.32,3265.5,235103000.00000003
2020-09-14,3283.93,3298.93,3275.3,3294.15,211259000.0
2020-09-15,3291.2,3321.18,3275.06,3317.64,213164000.0
2020-09-16,3314.21,3322.32,3283.88,3295.58,222292000.0
2020-09-17,3286.15,3287.26,3253.52,3264.69,234231000.0
2020-09-18,3267.63,3347.78,3264.33,3347.78,445780000.0
2020-09-21,3359.23,3360.92,3311.11,3311.59,297996000.0
2020-09-22,3285.77,3319.95,3260.49,3270.52,268201000.00000003
2020-09-23,3271.47,3284.4,3256.18,3275.74,204678000.0
2020-09-24,3259.12,3264.83,3214.7,3218.72,256476000.00000003
2020-09-25,3232.69,3244.03,3219.31,3229.78,209102000.0
2020-09-28,3237.3,3268.26,3237.3,3250.5,209744000.0
2020-09-29,3266.01,3266.94,3241.32,3241.32,190277000.0
2020-09-30,3252.59,3269.31,3218.55,3232.42,226948999.99999997
2020-10-09,3281.46,3296.67,3274.19,3286.86,246244000.0
2020-10-12,3302.98,3388.6,3302.62,3387.88,397736000.0
2020-10-13,3381.64,3391.99,3363.98,3386.89,279283000.0
2020-10-14,3380.56,3380.56,3359.62,3369.5,258226000.00000003
